Germany,Argentina,1:0 ET,1,0,Draw,Tm1,136,229,235,,,
Brazil,Netherlands,0:03,0,3,Win,Tm2,116,271,236,,,
Netherlands,Argentina,0:1 PEN,0,1,Draw,Tm2,206,223,154,,,
Brazil,Germany,1:07,1,7,Win,Tm2,165,221,193,,44,160
Netherlands,CostaRica,1:0 PEN,1,0,Draw,Tm1,-189,316,615,,0.275,
Argentina,Belgium,1:00,1,0,Win,Tm1,-101,240,324,,,
Brazil,Colombia,2:01,2,1,Win,Tm1,-130,280,391,,,
France,Germany,0:01,0,1,Win,Tm2,184,215,177,,,
Belgium,USA,2:1 ET,2,1,Draw,Tm1,102,241,308,,,
Argentina,Switzerland,1:0 ET,1,0,Draw,Tm1,-175,316,546,,,
Germany,Algeria,2:1 ET,2,1,Draw,Tm1,-312,466,941,,,
France,Nigeria,2:00,2,0,Win,Tm1,-244,366,781,,,
CostaRica,Greece,2:1 PEN,2,1,Draw,Tm1,171,208,195,,,
Netherlands,Mexico,2:01,2,1,Win,Tm1,112,238,274,,,
Colombia,Uruguay,2:00,2,0,Win,Tm1,112,237,273,,,
Brazil,Chile,2:1 PEN,2,1,Draw,Tm1,-189,351,531,,,
Algeria,Russia,1:01,1,1,Draw,Tm2,269,272,102,,,
SouthKorea,Belgium,0:01,0,1,Win,Tm2,366,254,-118,,,
Portugal,Ghana,2:01,2,1,Win,Tm1,-132,384,280,,,
USA,Germany,0:01,0,1,Win,Tm2,732,214,-147,,,
Ecuador,France,0:00,0,0,Draw,Tm2,454,317,-161,,,
Honduras,Switzerland,0:03,0,3,Win,Tm2,614,348,-204,,,
Bosnia&Herzegovina,Iran,3:01,3,1,Win,Tm1,122,258,227,,,
Nigeria,Argentina,2:03,2,3,Win,Tm2,839,325,-227,,,
Greece,IvoryCoast,2:01,2,1,Win,Tm1,304,262,-105,,,
Japan,Colombia,1:04,1,4,Win,Tm2,252,276,106,,,
CostaRica,England,0:00,0,0,Draw,Tm2,345,301,-128,,,
Italy,Uruguay,0:01,0,1,Win,Tm2,154,252,177,,,
Cameroon,Brazil,1:04,1,4,Win,Tm2,2144,851,-769,,,
Croatia,Mexico,1:03,1,3,Win,Tm2,170,250,164,,,
Australia,Spain,0:03,0,3,Win,Tm2,694,436,-263,,,
Netherlands,Chile,2:00,2,0,Win,Tm1,168,254,162,,,
USA,Portugal,2:02,2,2,Draw,Tm2,355,315,-135,,,
SouthKorea,Algeria,2:04,2,4,Win,Tm2,150,229,197,,,
Belgium,Russia,1:00,1,0,Win,Tm1,123,238,242,,,
Nigeria,Bosnia&Herzegovina,1:00,1,0,Win,Tm1,333,268,-115,,,
Germany,Ghana,2:02,2,2,Draw,Tm2,-303,462,831,,,
Argentina,Iran,1:00,1,0,Win,Tm1,-714,775,2016,,,
Honduras,Ecuador,1:02,1,2,Win,Tm2,479,324,-167,,,
Switzerland,France,2:05,2,5,Win,Tm2,361,254,-116,,,
Italy,CostaRica,0:01,0,1,Win,Tm2,-175,305,559,,,
Japan,Greece,0:00,0,0,Draw,Tm2,140,240,204,,,
Uruguay,England,2:01,2,1,Win,Tm1,282,284,-106,,,
Colombia,IvoryCoast,2:01,2,1,Win,Tm1,102,256,279,,,
